,Dataset,FeatureSet,Model,BestParams,Accuracy_Mean,Accuracy_STD,Precision_Mean,Precision_STD,Recall_Mean,Recall_STD,F1_Score_Mean,F1_Score_STD
55,Duplicates,ParkingSensores,XGBoost,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100}",0.9321681791264543,0.010087065166739595,0.9284574917835787,0.011882791597467858,0.9189147786825769,0.02125055210459078,0.9234893836684487,0.011983127484231493
56,Duplicates,MutualInformation1,DecisionTree,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 5}",0.9519485923720812,0.006202358479583164,0.950388320772262,0.012642319357899758,0.9416915262436507,0.014681677204459564,0.9458730242540627,0.007066594283365749
57,Duplicates,MutualInformation1,RandomForest,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'n_estimators': 300}",0.9649525455738545,0.011098044930122057,0.9739464262629849,0.012390990021115976,0.946770942513908,0.015284859352638078,0.9601315808970616,0.012690243788321155
58,Duplicates,MutualInformation1,GradientBoosting,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 200}",0.9626926585682047,0.014221099782881432,0.9665452178338668,0.0172802294083587,0.9493187132145449,0.018310357859801934,0.9577927203380174,0.016077518270172803
59,Duplicates,MutualInformation1,XGBoost,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.9609993438005153,0.014215876677242367,0.9675102808293685,0.013630676660958128,0.944247359509796,0.020922691489867216,0.9556827168142824,0.016250745347935587
60,Duplicates,MutualInformation2,DecisionTree,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5}",0.9344360685648437,0.009802275213268336,0.9278938416400339,0.013715338201697928,0.9252600177376442,0.022709715359097844,0.9263298469116196,0.011424031799854443
61,Duplicates,MutualInformation2,RandomForest,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 300}",0.952521566556233,0.012539394866356057,0.9694126531319063,0.01299198889542152,0.9227203096025155,0.020484058011935286,0.9453962476222699,0.014643869613031863
62,Duplicates,MutualInformation2,GradientBoosting,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.952521566556233,0.011885990477015159,0.9598158093615987,0.01702820416141453,0.9328630170120131,0.017642131415873986,0.9460210156463391,0.013439581270986404
63,Duplicates,MutualInformation2,XGBoost,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300}",0.9508218498423521,0.008667735715826956,0.9646971749010145,0.016359327806853986,0.9239861323873256,0.020721336082347337,0.9436393710930442,0.010241063928906719
64,Duplicates,RFE1,DecisionTree,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",0.9457355035930923,0.00824451929187445,0.9407974425353156,0.017677618549509815,0.9379021204547288,0.018498108350191556,0.9390853914065854,0.00919122868876444
65,Duplicates,RFE1,RandomForest,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 10, 'n_estimators': 200}",0.9632560298330691,0.012883405340109217,0.9751313865448343,0.013332159687962235,0.9416995888091592,0.022066689458030413,0.9580041295481369,0.014954410139564592
66,Duplicates,RFE1,GradientBoosting,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100}",0.9615627150653798,0.0171872236076307,0.9640905861752384,0.021452798196992192,0.9493106506490365,0.018756490807017516,0.9566092449705946,0.019267479759446548
67,Duplicates,RFE1,XGBoost,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.9638210015844816,0.011496572387484826,0.9714633129168732,0.0118957356498966,0.9467548173828912,0.019895389616463567,0.9588500768972864,0.013285431221477951
68,Duplicates,RFE2,DecisionTree,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 10}",0.9355628110945726,0.01029375217004911,0.9381090018308063,0.01560111631812404,0.9163670079819399,0.02127479596744439,0.9268775933289202,0.011966725116230148
69,Duplicates,RFE2,RandomForest,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.9553496262863911,0.011749621406342376,0.970925328286841,0.012083243453469034,0.9277916633072645,0.022072050237821782,0.9487222042760013,0.013803506167308778
70,Duplicates,RFE2,GradientBoosting,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 200}",0.9508250508154479,0.014674676042000765,0.9618848313762897,0.015223779884169333,0.9265258405224543,0.02381486693056271,0.9437516388830834,0.017108409497162125
71,Duplicates,RFE2,XGBoost,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.954776652102239,0.013128857001938056,0.9646990902877712,0.016519323531745768,0.9328307667499798,0.015791567292529812,0.9484551736011234,0.014909961104650687
72,Duplicates,Intersection1,DecisionTree,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",0.9491285350746628,0.0050130677666829155,0.9413486213633752,0.01807509604536418,0.9454970571635896,0.015307688876765426,0.943146725828016,0.005204861118616518
73,Duplicates,Intersection1,RandomForest,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",0.9638226020710295,0.00700502703139434,0.9764239937667197,0.006354820004728661,0.9417076513746675,0.017142387051477134,0.9586433818340705,0.008339795432457293
74,Duplicates,Intersection1,GradientBoosting,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 300}",0.9621260863302444,0.011929577750348754,0.9641913018248035,0.016700781753127263,0.9505764734338467,0.015690651516541348,0.9572506098103919,0.013400115730141087
75,Duplicates,Intersection1,XGBoost,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",0.9643891743089898,0.010193087825287784,0.9691401449863426,0.01396557191598965,0.9505764734338467,0.014633878452503723,0.9596917312155806,0.011487247386854712
76,Duplicates,Intersection2,DecisionTree,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 10}",0.9299002896880653,0.014244753230165217,0.9266681766293381,0.028445326772293236,0.9163750705474483,0.02162957478762046,0.9210872484733887,0.01586396291882825
77,Duplicates,Intersection2,RandomForest,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.9525215665562332,0.012019513318709492,0.9706967794801885,0.013790222865897962,0.921446424252197,0.018520164007518557,0.945350306331612,0.013972631305033244
78,Duplicates,Intersection2,GradientBoosting,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200}",0.9496983082857188,0.014536723724542223,0.953458100448867,0.016383426565409955,0.9328710795775216,0.021712481429227805,0.9429513106733992,0.016604484879102367
79,Duplicates,Intersection2,XGBoost,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.9491349370208543,0.018889182947262845,0.9569279773422542,0.01957103137029382,0.9277997258727726,0.029249605350536088,0.9419758697630168,0.021921653600439864
